news_no,user_no,user_spread_news_no_times,user_number_of_followers,following_accounts_number,fake_news,news_total_spread_no,user_total_fake_news_spread,user_total_news_spread,user_total_real_news_spread,user_total_probability_sharing_fake_news,user_total_probability_sharing_real_news
45,1,1,4,0,0,1396,0,1,1,0.0,1.0
127,2,1,87,68,1,379,1,1,0,1.0,0.0
115,3,1,1,0,1,243,2,2,0,1.0,0.0
180,3,1,1,0,1,1214,2,2,0,1.0,0.0
140,4,1,681,704,1,1193,1,1,0,1.0,0.0
5,5,1,3,1,0,100,0,1,1,0.0,1.0
45,6,1,46,15,0,1396,0,1,1,0.0,1.0
45,7,1,12,3,0,1396,0,1,1,0.0,1.0
45,8,1,5,0,0,1396,0,1,1,0.0,1.0
150,9,1,28,108,1,337,1,1,0,1.0,0.0
140,10,1,120,102,1,1193,3,3,0,1.0,0.0
171,10,1,120,102,1,648,3,3,0,1.0,0.0
180,10,1,120,102,1,1214,3,3,0,1.0,0.0
150,11,1,5,0,1,337,1,1,0,1.0,0.0
153,12,1,18,4,1,957,1,1,0,1.0,0.0
140,13,1,14,0,1,1193,1,1,0,1.0,0.0
150,14,1,182,115,1,337,1,1,0,1.0,0.0
180,15,1,9,0,1,1214,1,1,0,1.0,0.0
153,16,1,10,1,1,957,1,1,0,1.0,0.0
46,17,1,8,0,0,315,0,1,1,0.0,1.0
45,18,1,143,125,0,1396,0,1,1,0.0,1.0
136,19,1,11,0,1,91,6,6,0,1.0,0.0
140,19,1,11,0,1,1193,6,6,0,1.0,0.0
148,19,1,11,0,1,127,6,6,0,1.0,0.0
171,19,2,11,0,1,648,6,6,0,1.0,0.0
180,19,1,11,0,1,1214,6,6,0,1.0,0.0
56,20,1,3,0,0,306,0,1,1,0.0,1.0
153,21,1,44,0,1,957,1,1,0,1.0,0.0
45,22,1,17,4,0,1396,0,1,1,0.0,1.0
32,23,1,5,1,0,1228,0,1,1,0.0,1.0
138,24,1,49,52,1,385,1,1,0,1.0,0.0
91,25,1,3,0,0,627,0,1,1,0.0,1.0
180,26,1,8,7,1,1214,1,1,0,1.0,0.0
45,27,1,159,151,0,1396,0,1,1,0.0,1.0
93,28,1,4,0,1,840,1,1,0,1.0,0.0
95,29,1,5,1,1,552,1,1,0,1.0,0.0
7,30,1,7,1,0,87,0,4,4,0.0,1.0
46,30,1,7,1,0,315,0,4,4,0.0,1.0
89,30,1,7,1,0,289,0,4,4,0.0,1.0
91,30,1,7,1,0,627,0,4,4,0.0,1.0
72,31,1,395,367,0,734,0,1,1,0.0,1.0
168,32,1,160,138,1,744,1,1,0,1.0,0.0
32,33,1,1,0,0,1228,1,2,1,0.5,0.5
160,33,1,1,0,1,62,1,2,1,0.5,0.5
6,34,1,42,4,0,521,0,1,1,0.0,1.0
127,35,1,144,116,1,379,1,1,0,1.0,0.0
93,36,1,147,139,1,840,2,2,0,1.0,0.0
168,36,1,147,139,1,744,2,2,0,1.0,0.0
153,37,1,145,133,1,957,1,1,0,1.0,0.0
121,38,1,16,8,1,87,1,1,0,1.0,0.0
45,39,1,27,40,0,1396,0,1,1,0.0,1.0
72,40,1,2,0,0,734,0,1,1,0.0,1.0
21,41,1,0,2,0,94,0,1,1,0.0,1.0
93,42,1,6,2,1,840,1,1,0,1.0,0.0
87,43,1,45,41,0,823,0,1,1,0.0,1.0
140,44,1,47,25,1,1193,1,1,0,1.0,0.0
142,45,1,87,53,1,271,1,1,0,1.0,0.0
45,46,1,33,28,0,1396,0,1,1,0.0,1.0
23,47,1,4,0,0,284,0,3,3,0.0,1.0
45,47,1,4,0,0,1396,0,3,3,0.0,1.0
64,47,1,4,0,0,356,0,3,3,0.0,1.0
162,48,1,2,648,1,101,2,2,0,1.0,0.0
168,48,1,2,648,1,744,2,2,0,1.0,0.0
32,49,1,9,7,0,1228,0,1,1,0.0,1.0
45,50,1,165,148,0,1396,0,1,1,0.0,1.0
42,51,1,41,41,0,735,4,8,4,0.5,0.5
60,51,1,41,41,0,12,4,8,4,0.5,0.5
72,51,1,41,41,0,734,4,8,4,0.5,0.5
87,51,1,41,41,0,823,4,8,4,0.5,0.5
114,51,1,41,41,1,20,4,8,4,0.5,0.5
135,51,1,41,41,1,49,4,8,4,0.5,0.5
146,51,1,41,41,1,75,4,8,4,0.5,0.5
151,51,1,41,41,1,164,4,8,4,0.5,0.5
46,52,1,79,76,0,315,0,1,1,0.0,1.0
153,53,1,10,13,1,957,1,1,0,1.0,0.0
17,54,1,7,0,0,188,0,1,1,0.0,1.0
78,55,1,2,0,0,90,0,1,1,0.0,1.0
76,56,1,1,0,0,20,0,1,1,0.0,1.0
180,57,1,23,15,1,1214,2,2,0,1.0,0.0
181,57,1,23,15,1,412,2,2,0,1.0,0.0
32,58,1,7,8,0,1228,0,1,1,0.0,1.0
44,59,1,1,0,0,112,0,1,1,0.0,1.0
31,60,1,3,0,0,59,0,1,1,0.0,1.0
91,61,1,112,144,0,627,0,1,1,0.0,1.0
90,62,1,0,5,0,19,0,1,1,0.0,1.0
91,63,1,31,21,0,627,0,1,1,0.0,1.0
87,64,1,97,48,0,823,0,1,1,0.0,1.0
32,65,1,489,469,0,1228,0,1,1,0.0,1.0
53,66,1,87,49,0,11,0,1,1,0.0,1.0
12,67,1,32,8,0,20,0,3,3,0.0,1.0
45,67,1,32,8,0,1396,0,3,3,0.0,1.0
55,67,1,32,8,0,50,0,3,3,0.0,1.0
168,68,1,48,12,1,744,2,2,0,1.0,0.0
180,68,1,48,12,1,1214,2,2,0,1.0,0.0
6,69,1,40,18,0,521,0,1,1,0.0,1.0
38,70,1,15,2,0,33,0,1,1,0.0,1.0
79,71,1,19,0,0,20,0,1,1,0.0,1.0
151,72,1,83,90,1,164,1,1,0,1.0,0.0
6,73,1,13,0,0,521,0,1,1,0.0,1.0
72,74,1,114,66,0,734,2,3,1,0.67,0.33
93,74,1,114,66,1,840,2,3,1,0.67,0.33
142,74,1,114,66,1,271,2,3,1,0.67,0.33
153,75,1,1,0,1,957,1,1,0,1.0,0.0
72,76,1,160,102,0,734,0,1,1,0.0,1.0
168,77,1,11,28,1,744,1,1,0,1.0,0.0
138,78,1,26,8,1,385,1,1,0,1.0,0.0
135,79,1,18,3,1,49,1,1,0,1.0,0.0
124,80,1,5,1,1,248,1,1,0,1.0,0.0
115,81,1,43,25,1,243,1,1,0,1.0,0.0
150,82,1,22,12,1,337,2,2,0,1.0,0.0
153,82,1,22,12,1,957,2,2,0,1.0,0.0
168,83,1,10,0,1,744,1,1,0,1.0,0.0
30,84,1,135,64,0,44,0,1,1,0.0,1.0
172,85,1,7,1,1,27,1,1,0,1.0,0.0
3,86,1,8,7,0,59,0,1,1,0.0,1.0
91,87,1,3,0,0,627,0,1,1,0.0,1.0
140,88,1,9,3,1,1193,3,3,0,1.0,0.0
171,88,1,9,3,1,648,3,3,0,1.0,0.0
180,88,1,9,3,1,1214,3,3,0,1.0,0.0
150,89,1,25,0,1,337,1,1,0,1.0,0.0
32,90,1,151,145,0,1228,0,1,1,0.0,1.0
147,91,1,4,0,1,49,1,1,0,1.0,0.0
64,92,1,13,3,0,356,0,1,1,0.0,1.0
105,93,1,14,12,1,119,5,5,0,1.0,0.0
122,93,1,14,12,1,184,5,5,0,1.0,0.0
138,93,1,14,12,1,385,5,5,0,1.0,0.0
141,93,1,14,12,1,128,5,5,0,1.0,0.0
142,93,1,14,12,1,271,5,5,0,1.0,0.0
153,94,1,34,10,1,957,1,1,0,1.0,0.0
93,95,2,138,73,1,840,6,6,0,1.0,0.0
113,95,1,138,73,1,136,6,6,0,1.0,0.0
140,95,1,138,73,1,1193,6,6,0,1.0,0.0
171,95,2,138,73,1,648,6,6,0,1.0,0.0
93,96,1,61,47,1,840,9,9,0,1.0,0.0
96,96,1,61,47,1,47,9,9,0,1.0,0.0
113,96,1,61,47,1,136,9,9,0,1.0,0.0
125,96,1,61,47,1,212,9,9,0,1.0,0.0
128,96,1,61,47,1,14,9,9,0,1.0,0.0
140,96,2,61,47,1,1193,9,9,0,1.0,0.0
143,96,1,61,47,1,79,9,9,0,1.0,0.0
180,96,1,61,47,1,1214,9,9,0,1.0,0.0
6,97,1,2,0,0,521,0,1,1,0.0,1.0
