news_no,user_no,news_spred_no,source,fake_news,followers_no
45,1,1,Bf,0,4
127,2,1,Bf,1,87
115,3,1,Bf,1,1
180,3,1,Bf,1,681
140,4,1,Bf,1,3
5,5,1,Bf,0,46
45,6,1,Bf,0,12
45,7,1,Bf,0,5
45,8,1,Bf,0,28
150,9,1,Bf,1,120
140,10,1,Bf,1,5
171,10,1,Bf,1,18
180,10,1,Bf,1,14
150,11,1,Bf,1,182
153,12,1,Bf,1,9
140,13,1,Bf,1,10
150,14,1,Bf,1,8
180,15,1,Bf,1,143
153,16,1,Bf,1,11
46,17,1,Bf,0,3
45,18,1,Bf,0,44
136,19,1,Bf,1,17
140,19,1,Bf,1,5
148,19,1,Bf,1,49
171,19,2,Bf,1,3
180,19,1,Bf,1,8
56,20,1,Bf,0,159
153,21,1,Bf,1,4
45,22,1,Bf,0,5
32,23,1,Bf,0,7
138,24,1,Bf,1,395
91,25,1,Bf,0,160
180,26,1,Bf,1,1
45,27,1,Bf,0,42
93,28,1,Bf,1,144
95,29,1,Bf,1,147
7,30,1,Bf,0,145
46,30,1,Bf,0,16
89,30,1,Bf,0,27
91,30,1,Bf,0,2
72,31,1,Bf,0,6
168,32,1,Bf,1,45
32,33,1,Bf,0,47
160,33,1,Bf,1,87
6,34,1,Bf,0,33
127,35,1,Bf,1,4
93,36,1,Bf,1,2
168,36,1,Bf,1,9
153,37,1,Bf,1,165
121,38,1,Bf,1,41
45,39,1,Bf,0,79
72,40,1,Bf,0,10
21,41,1,Bf,0,7
93,42,1,Bf,1,2
87,43,1,Bf,0,1
140,44,1,Bf,1,23
142,45,1,Bf,1,7
45,46,1,Bf,0,1
23,47,1,Bf,0,3
45,47,1,Bf,0,112
64,47,1,Bf,0,31
162,48,1,Bf,1,97
168,48,1,Bf,1,489
32,49,1,Bf,0,87
45,50,1,Bf,0,32
42,51,1,Bf,0,48
60,51,1,Bf,0,40
72,51,1,Bf,0,15
87,51,1,Bf,0,19
114,51,1,Bf,1,83
135,51,1,Bf,1,13
146,51,1,Bf,1,114
151,51,1,Bf,1,1
46,52,1,Bf,0,160
153,53,1,Bf,1,11
17,54,1,Bf,0,26
78,55,1,Bf,0,18
76,56,1,Bf,0,5
180,57,1,Bf,1,43
181,57,1,Bf,1,22
32,58,1,Bf,0,10
44,59,1,Bf,0,135
31,60,1,Bf,0,7
91,61,1,Bf,0,8
90,62,1,Bf,0,3
91,63,1,Bf,0,9
87,64,1,Bf,0,25
32,65,1,Bf,0,151
53,66,1,Bf,0,4
12,67,1,Bf,0,13
45,67,1,Bf,0,14
55,67,1,Bf,0,34
168,68,1,Bf,1,138
180,68,1,Bf,1,61
6,69,1,Bf,0,2
38,70,1,Bf,0,3
79,71,1,Bf,0,17
151,72,1,Bf,1,1120
6,73,1,Bf,0,20
72,74,1,Bf,0,2
93,74,1,Bf,1,116
142,74,1,Bf,1,16
153,75,1,Bf,1,43
72,76,1,Bf,0,26
168,77,1,Bf,1,3
138,78,1,Bf,1,120
135,79,1,Bf,1,10
124,80,1,Bf,1,8
115,81,1,Bf,1,2
150,82,1,Bf,1,3
153,82,1,Bf,1,51
168,83,1,Bf,1,36
30,84,1,Bf,0,18
172,85,1,Bf,1,104
3,86,1,Bf,0,151
91,87,1,Bf,0,1
140,88,1,Bf,1,2
171,88,1,Bf,1,28
180,88,1,Bf,1,121
150,89,1,Bf,1,42
32,90,1,Bf,0,2
147,91,1,Bf,1,32
64,92,1,Bf,0,32
105,93,1,Bf,1,8
122,93,1,Bf,1,29
138,93,1,Bf,1,1
141,93,1,Bf,1,5
142,93,1,Bf,1,1
153,94,1,Bf,1,64
93,95,2,Bf,1,37
113,95,1,Bf,1,41
140,95,1,Bf,1,41
171,95,2,Bf,1,17
93,96,1,Bf,1,7
96,96,1,Bf,1,72
113,96,1,Bf,1,1
125,96,1,Bf,1,1
128,96,1,Bf,1,37
140,96,2,Bf,1,17
143,96,1,Bf,1,61
180,96,1,Bf,1,24
6,97,1,Bf,0,8
45,98,1,Bf,0,113
115,99,1,Bf,1,39
45,100,1,Bf,0,1
153,101,1,Bf,1,7
153,102,1,Bf,1,149
180,103,1,Bf,1,8
6,104,1,Bf,0,7
32,105,1,Bf,0,9
143,106,1,Bf,1,1
140,107,3,Bf,1,65
168,107,1,Bf,1,8
180,107,5,Bf,1,19
181,107,2,Bf,1,10
153,108,1,Bf,1,18
168,109,1,Bf,1,46
180,109,1,Bf,1,42
46,110,1,Bf,0,2
23,111,1,Bf,0,28
