news_no,user_no_x,news_spred_no,source,fake_news,followers_no,total_news_spread_no,news_weight
45,1,1,Bf,0,4,1197,11
127,2,1,Bf,1,87,366,3
115,3,1,Bf,1,1,217,2
180,3,1,Bf,1,681,1060,10
140,4,1,Bf,1,3,1020,10
5,5,1,Bf,0,46,94,0
45,6,1,Bf,0,12,1197,11
45,7,1,Bf,0,5,1197,11
45,8,1,Bf,0,28,1197,11
150,9,1,Bf,1,120,322,3
140,10,1,Bf,1,5,1020,10
171,10,1,Bf,1,18,511,5
180,10,1,Bf,1,14,1060,10
150,11,1,Bf,1,182,322,3
153,12,1,Bf,1,9,935,9
140,13,1,Bf,1,10,1020,10
150,14,1,Bf,1,8,322,3
180,15,1,Bf,1,143,1060,10
153,16,1,Bf,1,11,935,9
46,17,1,Bf,0,3,285,2
45,18,1,Bf,0,44,1197,11
136,19,1,Bf,1,17,84,0
140,19,1,Bf,1,5,1020,10
148,19,1,Bf,1,49,116,1
171,19,2,Bf,1,3,511,5
180,19,1,Bf,1,8,1060,10
56,20,1,Bf,0,159,278,2
153,21,1,Bf,1,4,935,9
45,22,1,Bf,0,5,1197,11
32,23,1,Bf,0,7,1134,11
138,24,1,Bf,1,395,338,3
91,25,1,Bf,0,160,589,5
180,26,1,Bf,1,1,1060,10
45,27,1,Bf,0,42,1197,11
93,28,1,Bf,1,144,708,7
95,29,1,Bf,1,147,439,4
7,30,1,Bf,0,145,82,0
46,30,1,Bf,0,16,285,2
89,30,1,Bf,0,27,265,2
91,30,1,Bf,0,2,589,5
72,31,1,Bf,0,6,673,6
168,32,1,Bf,1,45,678,6
32,33,1,Bf,0,47,1134,11
160,33,1,Bf,1,87,60,0
6,34,1,Bf,0,33,477,4
127,35,1,Bf,1,4,366,3
93,36,1,Bf,1,2,708,7
168,36,1,Bf,1,9,678,6
153,37,1,Bf,1,165,935,9
121,38,1,Bf,1,41,78,0
45,39,1,Bf,0,79,1197,11
72,40,1,Bf,0,10,673,6
21,41,1,Bf,0,7,84,0
93,42,1,Bf,1,2,708,7
87,43,1,Bf,0,1,754,7
140,44,1,Bf,1,23,1020,10
142,45,1,Bf,1,7,246,2
45,46,1,Bf,0,1,1197,11
23,47,1,Bf,0,3,274,2
45,47,1,Bf,0,112,1197,11
64,47,1,Bf,0,31,333,3
162,48,1,Bf,1,97,99,0
168,48,1,Bf,1,489,678,6
32,49,1,Bf,0,87,1134,11
45,50,1,Bf,0,32,1197,11
42,51,1,Bf,0,48,570,5
60,51,1,Bf,0,40,12,0
72,51,1,Bf,0,15,673,6
87,51,1,Bf,0,19,754,7
114,51,1,Bf,1,83,20,0
135,51,1,Bf,1,13,49,0
146,51,1,Bf,1,114,30,0
151,51,1,Bf,1,1,156,1
46,52,1,Bf,0,160,285,2
153,53,1,Bf,1,11,935,9
17,54,1,Bf,0,26,155,1
78,55,1,Bf,0,18,83,0
76,56,1,Bf,0,5,20,0
180,57,1,Bf,1,43,1060,10
181,57,1,Bf,1,22,382,3
32,58,1,Bf,0,10,1134,11
44,59,1,Bf,0,135,99,0
31,60,1,Bf,0,7,53,0
91,61,1,Bf,0,8,589,5
90,62,1,Bf,0,3,19,0
91,63,1,Bf,0,9,589,5
87,64,1,Bf,0,25,754,7
32,65,1,Bf,0,151,1134,11
53,66,1,Bf,0,4,11,0
12,67,1,Bf,0,13,19,0
