news_no,user_no,user_spread_news_no_times,user_number_of_followers,fake_news,news_total_spread_no,user_total_fake_news_spread,user_total_news_spread,user_total_real_news_spread,user_total_probability_sharing_fake_news,user_total_probability_sharing_real_news
87,43,1,45,0,823,0,1,1,0.0,1.0
87,51,1,41,0,823,0,1,1,0.0,1.0
87,64,1,97,0,823,0,1,1,0.0,1.0
172,85,1,7,1,27,1,1,0,1.0,0.0
141,93,1,14,1,128,1,1,0,1.0,0.0
87,133,1,41,0,823,0,1,1,0.0,1.0
87,137,1,72,0,823,0,1,1,0.0,1.0
141,148,1,7,1,128,1,1,0,1.0,0.0
87,153,1,9,0,823,0,1,1,0.0,1.0
87,161,1,42,0,823,0,1,1,0.0,1.0
87,164,1,20,0,823,0,1,1,0.0,1.0
87,177,1,36,0,823,0,1,1,0.0,1.0
87,188,1,2,0,823,0,1,1,0.0,1.0
87,249,1,1,0,823,0,1,1,0.0,1.0
141,251,1,15,1,128,1,1,0,1.0,0.0
87,274,1,4,0,823,0,1,1,0.0,1.0
141,324,1,1,1,128,1,1,0,1.0,0.0
141,327,1,68,1,128,1,1,0,1.0,0.0
87,347,1,80,0,823,0,1,1,0.0,1.0
141,357,2,8,1,128,2,2,0,1.0,0.0
87,360,1,2,0,823,0,1,1,0.0,1.0
141,367,1,2,1,128,1,1,0,1.0,0.0
141,372,1,18,1,128,1,1,0,1.0,0.0
87,396,1,17,0,823,0,1,1,0.0,1.0
87,397,2,174,0,823,0,2,2,0.0,1.0
87,415,1,81,0,823,0,1,1,0.0,1.0
87,416,1,1,0,823,0,1,1,0.0,1.0
87,419,1,68,0,823,0,1,1,0.0,1.0
87,426,1,1,0,823,0,1,1,0.0,1.0
87,449,1,188,0,823,0,1,1,0.0,1.0
28,474,1,1,0,14,0,1,1,0.0,1.0
87,491,1,1,0,823,0,1,1,0.0,1.0
87,499,1,3,0,823,0,1,1,0.0,1.0
87,504,1,11,0,823,0,1,1,0.0,1.0
87,509,1,171,0,823,0,1,1,0.0,1.0
87,547,1,127,0,823,0,1,1,0.0,1.0
141,581,1,1,1,128,1,1,0,1.0,0.0
87,602,1,6,0,823,0,1,1,0.0,1.0
87,617,1,9,0,823,0,1,1,0.0,1.0
87,618,1,1,0,823,0,1,1,0.0,1.0
87,640,1,1,0,823,0,1,1,0.0,1.0
141,656,1,110,1,128,1,1,0,1.0,0.0
87,682,1,34,0,823,0,1,1,0.0,1.0
87,692,2,3,0,823,0,2,2,0.0,1.0
87,706,1,13,0,823,0,1,1,0.0,1.0
87,760,1,12,0,823,0,1,1,0.0,1.0
87,768,1,29,0,823,0,1,1,0.0,1.0
87,781,1,6,0,823,0,1,1,0.0,1.0
87,788,2,125,0,823,0,2,2,0.0,1.0
87,797,1,112,0,823,0,1,1,0.0,1.0
29,802,1,3,0,46,0,2,2,0.0,1.0
87,802,1,3,0,823,0,2,2,0.0,1.0
87,813,3,46,0,823,0,3,3,0.0,1.0
87,815,1,20,0,823,0,1,1,0.0,1.0
87,859,1,1,0,823,0,1,1,0.0,1.0
87,880,1,1,0,823,0,1,1,0.0,1.0
87,884,1,6,0,823,0,1,1,0.0,1.0
52,901,1,12,0,37,0,3,3,0.0,1.0
87,901,2,12,0,823,0,3,3,0.0,1.0
87,932,1,9,0,823,0,1,1,0.0,1.0
29,955,1,22,0,46,0,1,1,0.0,1.0
172,966,1,4,1,27,1,1,0,1.0,0.0
